press_release_id,release_date,company_name,category,source,source_url,cid,category_name,cat_sim,cat_margin,decision,title,snippet,run_id,taxonomy_version,p1_emb,p1_lsa,entropy_emb,entropy_lsa,entropy_fused,top3_fused_sum,agreement_emb_lsa,cid_group,cat_sim_group,cat_margin_group,entropy_fused_group,dup_group_id,dup_group_size,is_group_rep,sample_weight_dedup,decision_group,top3_cids,top3_probs
198cb36ae8e750cf,2025-08-21,United Bankers Oyj,personnel_management_change,gmail,,personnel_management_change,Personnel / Management change,0.0559,0.0017,needs_review_low_sim,COMPANY Bankers Plc's Half-Year Financial Report 1 January - 30 June 2025: Solid business development continued - assets under management reached a new record high,COMPANY Bankers Plc's Half-Year Financial Report 1 January - 30 June 2025: Solid business development continued - assets under management reached a new record high Published: 2025-08-21 08:00:00 CEST COMPANY - Half Year financial report COMPANY Bankers Plc's Half-Year Financial Report 1 January - 30 June 2025: Solid business development continued - assets under management reached a new record high COMPANY Bankers Plc STOCK EXCHANGE RELEASE 21 August 2025 at 09:00 EEST COMPANY Bankers Plc's Half-Year Financial Report 1 January - 30 June 2025: Solid business development continued - assets under ,2025-09-02T135241Z,v3,0.0542,0.0584,2.9443,2.9438,2.9442,0.1642,True,earnings_report,0.0559,0.0017,2.9442,g00000000,1,True,1.0,needs_review_low_sim,"[""earnings_report"", ""dividend"", ""personnel_management_change""]","[0.0559, 0.0542, 0.0541]"
198e5a8e877ba66d,2025-08-26,Työllisyysrahasto,earnings_report,gmail,,earnings_report,Earnings report,0.0565,0.0029,needs_review_low_sim,Employment Fund: Employment Fund's Half-Year Report 1 January 2025-30 June 2025,"Employment Fund: Employment Fund's Half-Year Report 1 January 2025-30 June 2025 Published: 2025-08-26 11:15:00 CEST Työllisyysrahasto - Half Year financial report Employment Fund: Employment Fund's Half-Year Report 1 January 2025-30 June 2025 26.8.2025 12:15:00 EEST | Työllisyysrahasto | Half Year financial report Employment Fund Stock Exchange Release August 26, 2025 at 12.15 This release is a summary of Employments Fund's Half-Year Report January-June 2025. The Half-Year Report in its entirety is attached to this release and available at the website. As expected, the half-year result (change",2025-09-02T135241Z,v3,0.0543,0.0598,2.9443,2.9439,2.9442,0.1631,True,earnings_report,0.0565,0.0029,2.9442,g00000001,1,True,1.0,needs_review_low_sim,"[""earnings_report"", ""personnel_management_change"", ""dividend""]","[0.0565, 0.0536, 0.053]"
199061d588461382,2025-09-01,Nasdaq Company News,debt_bond_issue,gmail,,debt_bond_issue,Debt / Bond issue,0.057,0.0023,needs_review_low_sim,Dooba initiates a written procedure to amend the terms and conditions of its existing senior unsecured sustainability-linked floating rate bonds,"Dooba initiates a written procedure to amend the terms and conditions of its existing senior unsecured sustainability-linked floating rate bonds Published: 2025-09-01 18:30:00 CEST Dooba Finance AB (publ) - Inside information Dooba initiates a written procedure to amend the terms and conditions of its existing senior unsecured sustainability-linked floating rate bonds Dooba Finance AB (publ) (""Dooba"", or the ""Issuer"") has instructed Nordic Trustee & Agency AB (publ) (the ""Agent"") to initiate a procedure in writing (the ""Written Procedure"") to seek bondholders' approval to waive the payment def",2025-09-02T135241Z,v3,0.0556,0.0591,2.9443,2.9437,2.9442,0.165,True,debt_bond_issue,0.057,0.0023,2.9442,g00000003,1,True,1.0,needs_review_low_sim,"[""debt_bond_issue"", ""dividend"", ""credit_ratings""]","[0.057, 0.0547, 0.0533]"
198e5c8dfcfcc3c5,2025-08-26,Työllisyysrahasto,personnel_management_change,gmail,,personnel_management_change,Personnel / Management change,0.0539,0.0004,needs_review_low_sim,Employment Fund's Board of Directors proposes an increase in unemployment insurance contributions,"Employment Fund's Board of Directors proposes an increase in unemployment insurance contributions Published: 2025-08-26 11:50:00 CEST Työllisyysrahasto - Other information disclosed according to the rules of the Exchange Employment Fund's Board of Directors proposes an increase in unemployment insurance contributions 26.8.2025 12:50:00 EEST | Työllisyysrahasto | Other information disclosed according to the rules of the Exchange Stock Exchange Release Employment Fund August 26, 2025 at 12.50 At its meeting on 26 August 2025, Employment Fund's Board of Directors unanimously decided to propose to",2025-09-02T135241Z,v3,0.0537,0.0542,2.9444,2.9444,2.9444,0.1608,False,personnel_management_change,0.0539,0.0004,2.9444,g00000002,1,True,1.0,needs_review_low_sim,"[""personnel_management_change"", ""earnings_report"", ""dividend""]","[0.0539, 0.0535, 0.0534]"
198f117525301b5a,2025-08-28,LR Health & Beauty SE,legal_regulatory_compliance,gmail,,legal_regulatory_compliance,Legal / Regulatory / Compliance,0.0546,0.0002,needs_review_low_sim,Potential breach of Leverage Covenant as at 30 September 2025 - Management Board intends to enter into discussions with bondholders of the 2024/2028 bond...,Potential breach of Leverage Covenant as at 30 September 2025 - Management Board intends to enter into discussions with bondholders of the 2024/2028 bond... Published: 2025-08-28 16:30:13 CEST COMPANY - Inside information COMPANY: Potential breach of Leverage Covenant as at 30 September 2025 - Management Board intends to enter into discussions with bondholders of the 2024/2028 bond... Disclosure of an inside information acc. to Art. 17 of the Regulation (EU) No. 596/2014 (Market Abuse Regulation - MAR) COMPANY: Potential breach of Leverage Covenant as at 30 September 2025 - Management Board in,2025-09-02T135241Z,v3,0.0535,0.058,2.9444,2.9439,2.9443,0.1624,False,personnel_management_change,0.0546,0.0002,2.9443,g00000009,1,True,1.0,needs_review_low_sim,"[""personnel_management_change"", ""debt_bond_issue"", ""earnings_report""]","[0.0546, 0.0544, 0.0533]"
198f023542dffc4a,2025-08-28,Työllisyysrahasto,personnel_management_change,gmail,,personnel_management_change,Personnel / Management change,0.054,0.0004,needs_review_low_sim,Employment Fund's Supervisory Board Proposes an Increase in Unemployment Insurance Contributions,"Employment Fund's Supervisory Board Proposes an Increase in Unemployment Insurance Contributions Published: 2025-08-28 12:05:01 CEST Työllisyysrahasto - Other information disclosed according to the rules of the Exchange Employment Fund's Supervisory Board Proposes an Increase in Unemployment Insurance Contributions 28.8.2025 13:05:01 EEST | Työllisyysrahasto | Other information disclosed according to the rules of the Exchange Stock Exchange Release Employment Fund August 28, 2025 at 13.05 Employment Fund's Supervisory Board has approved the Fund's budget for 2026 and decided to propose to the ",2025-09-02T135241Z,v3,0.0537,0.0545,2.9444,2.9444,2.9444,0.161,True,personnel_management_change,0.054,0.0004,2.9444,g00000010,1,True,1.0,needs_review_low_sim,"[""personnel_management_change"", ""earnings_report"", ""agm_egm_governance""]","[0.054, 0.0536, 0.0533]"
198ccc61dd0cfc89,2025-08-21,North Media A/S,earnings_report,gmail,,earnings_report,Earnings report,0.0553,0.0022,needs_review_low_sim,Q2 2025: Operating profit better than expected,"Q2 2025: Operating profit better than expected Published: 2025-08-21 15:16:26 CEST COMPANY - Half Year financial report Q2 2025: Operating profit better than expected Announcement no. 11-2025 21 August 2025 COMPANY Media Group CEO Lasse Ingemann Brodt on the Group's performance in Q2 2025: ""Our operating profit for Q2 2025 exceeded expectations. The better-than-expected performance was primarily driven by the initial positive effects of the change in business model for the Swedish distribution business SDR, focusing on automated packing of printed matter, and the takeover of local sales from f",2025-09-02T135241Z,v3,0.054,0.0574,2.9444,2.9442,2.9443,0.1616,True,earnings_report,0.0553,0.0022,2.9443,g00000011,1,True,1.0,needs_review_low_sim,"[""earnings_report"", ""capital_raise_rights_issue"", ""dividend""]","[0.0553, 0.0532, 0.0531]"
198c1bd335503a84,2025-08-19,SP Group A/S,product_launch_partnership,gmail,,product_launch_partnership,Product / Launch / Partnership,0.057,0.003,needs_review_low_sim,COMPANY Groups Interim Report for first half of 2025,"COMPANY Groups Interim Report for first half of 2025 Published: 2025-08-19 11:50:53 CEST COMPANY - Half Year financial report COMPANY Groups Interim Report for first half of 2025 COMPANY Announcement No. 36 /2025 19 August 2025 CVR No. 15701315 COMPANY Groups Interim Report for first half of 2025 COMPANY Group generated revenue of DKK 1,466.9 million in the H1 2025 reporting period, a year-on-year decline of 1.2%. EBITDA was down by 3.7% to DKK 291.1 million, and profit before tax (EBT) was down by 6.7% to DKK 164.7 million. As announced on 10 July 2025, our full-year revenue guidance for 2025",2025-09-02T135241Z,v3,0.055,0.0601,2.9443,2.9438,2.9442,0.1646,True,earnings_report,0.057,0.003,2.9442,g00000012,1,True,1.0,needs_review_low_sim,"[""earnings_report"", ""equity_actions_non_buyback"", ""personnel_management_change""]","[0.057, 0.054, 0.0536]"
198ac50e8456ea53,2025-08-15,Nepa AB,personnel_management_change,gmail,,personnel_management_change,Personnel / Management change,0.0556,0.0014,needs_review_low_sim,COMPANY Interim report Q2 2025,"COMPANY Interim report Q2 2025 Published: 2025-08-15 08:00:00 CEST COMPANY - Half year financial report COMPANY Interim report Q2 2025 ""We continued to increase sales bookings in Q2, marking the third consecutive quarter of growth. Sales bookings increased by 13.3% year-over-year, driven by several new ARR deals. This reflects the success of our strategy and ongoing commercial investments. However, softer ad hoc demand from non-subscribing clients, along with the effects of earlier announced low-margin contract phase-outs and extraordinary churn, temporarily weighed on the quarter's results. T",2025-09-02T135241Z,v3,0.0539,0.0582,2.9444,2.9439,2.9443,0.1634,True,earnings_report,0.0556,0.0014,2.9443,g00000014,1,True,1.0,needs_review_low_sim,"[""earnings_report"", ""orders_contracts"", ""agm_egm_governance""]","[0.0556, 0.0542, 0.0535]"
198cb1b876b98c94,2025-08-21,ALK-Abelló,product_launch_partnership,gmail,,product_launch_partnership,Product / Launch / Partnership,0.0562,0.0018,needs_review_low_sim,Six-month interim report (Q2) 2025 (unaudited),"Six-month interim report (Q2) 2025 (unaudited) Published: 2025-08-21 07:30:31 CEST ALK-Abelló - Half Year financial report Six-month interim report (Q2) 2025 (unaudited) ALK delivers 12% organic revenue growth with operating profit up 41% in Q2 Q2 results exceeded expectations, driven by an improved momentum for tablets and adrenaline autoinjectors. Sales in Europe were ahead of plan, supporting 12% overall revenue growth, despite phasing of product shipments to International markets. The operating profit (EBIT) increased by 41%, and the full-year revenue outlook has been upgraded. Q2 performa",2025-09-02T135241Z,v3,0.054,0.0596,2.9444,2.9437,2.9442,0.1639,True,earnings_report,0.0562,0.0018,2.9442,g00000015,1,True,1.0,needs_review_low_sim,"[""earnings_report"", ""product_launch_partnership"", ""share_buyback""]","[0.0562, 0.0544, 0.0533]"
