press_release_id,release_date,company_name,category,source,source_url,cluster,_silhouette,cid,category_name,cat_sim,cat_margin,decision
197778515008a827,2025-06-16,Finnair,unknown,gmail,,25,0.0779594,admission_delisting,Delisting / Trading halt,0.8158,0.0013,needs_review_margin
197778548411399b,2025-06-16,Finnair,unknown,gmail,,13,0.35416317,admission_delisting,Delisting / Trading halt,0.8035,0.0025,needs_review_margin
19777861df222e6c,2025-06-16,Vitec Software Group,unknown,gmail,,9,0.28396878,legal_regulatory_compliance,Legal / Regulatory / Compliance,0.8094,0.0107,needs_review_margin
197778881ea0dd76,2025-06-16,Enity Bank Group,unknown,gmail,,25,0.031401068,legal_regulatory_compliance,Legal / Regulatory / Compliance,0.8082,0.005,needs_review_margin
197778886af37af7,2025-06-16,Enity Holding AB,unknown,gmail,,25,0.07723658,legal_regulatory_compliance,Legal / Regulatory / Compliance,0.8042,0.0078,needs_review_margin
1977788a9206cd44,2025-06-16,Google,unknown,gmail,,9,0.042879086,admission_delisting,Delisting / Trading halt,0.8164,0.0095,needs_review_margin
1977788be03964fa,2025-06-16,Enity Bank Group,unknown,gmail,,13,0.11294175,legal_regulatory_compliance,Legal / Regulatory / Compliance,0.7973,0.0005,needs_review_margin
1977a16a5b237ef1,2025-06-16,Maersk,unknown,gmail,,25,-0.011732766,admission_delisting,Delisting / Trading halt,0.8256,0.0004,needs_review_margin
1977a1746adf0ec4,2025-06-16,Maersk,unknown,gmail,,25,-0.04437756,admission_delisting,Delisting / Trading halt,0.7983,0.0008,needs_review_margin
1977a17fe82159cb,2025-06-16,AAK,unknown,gmail,,9,0.27993238,legal_regulatory_compliance,Legal / Regulatory / Compliance,0.8081,0.0029,needs_review_margin
1977a36fcefc8590,2025-06-16,ABB,unknown,gmail,,9,0.023022696,share_buyback,Share buyback,0.8005,0.0031,needs_review_margin
1977a37df42a1723,2025-06-16,AddLife,unknown,gmail,,9,0.30555215,legal_regulatory_compliance,Legal / Regulatory / Compliance,0.8178,0.0146,needs_review_margin
1977a3901a3d73e8,2025-06-16,Addnode Group,unknown,gmail,,9,0.33566433,legal_regulatory_compliance,Legal / Regulatory / Compliance,0.8138,0.0102,needs_review_margin
