cluster,size,sample_titles
0,126,"Partnera Oyj:n puolivuosikatsaus 1.1.-30.6.2025: Strategian toteuttaminen etenee suunnitellusti, omistus Foamit Groupista nousi 100 prosenttiin ja liiketoimintaa kehitetään voimakkaasti | Rebl Group -konsernin puolivuosikatsaus 1.1.-30.6.2025 | Kojamo Oyj:n puolivuosikatsaus 1.1.-30.6.2025 | Solwers Oyj:n puolivuosiraportti 1.1.-30.6.2025 (tilintarkastamaton) | Fortumin tammi-kesäkuun 2025 puolivuosikatsaus: Saavutettu sähkönhinta vahva, mutta alhaiset tuotantomäärät ja markkinahinnat painoivat tulosta"
1,105,"Reporting of transactions made by persons discharging managerial responsibilities and persons closely associated with them in HusCompagniet's shares | Invitation to Skanska's Capital Markets Day on November 18, 2025, in Seattle, Washington state, USA | Skanska selected for bridge cable dehumidification project in New York, USA, for USD 249M, about SEK 2.5 billion | Lagercrantz acquires Aktiebolaget Qvintus | NIBE Industrier appoints Claes Hemberg as Energy Economist of the Group"
2,107,"Klappir.: Invitation to Investor Meeting - Webcast presentation of the financial result for the first half of 2025 | Invitation to the presentation of ALK's first six months (Q2) 2025 results on Thursday, 21 August 2025 | Invitation to Presentation of Pierce Group's Interim Report (Q2 2025) | Publishing of Eimskip's second quarter 2025 results | Invitation to media and analyst briefing for Ericsson Q2 2025 report"
3,130,"Alvotech appoints Patrik Ling as VP of Investor Relations Scandinavia | ExpreS2ion Announces Financial Results for the First Half and Second Quarter of 2025 | Nanoform Q2 2025 report: Continued progress on many fronts, supportive first preliminary pivotal nanoenzalutamide study results | Spago Nanomedical interim report January-June, 2025 | OncoZenge AB Interim Report January 1 - June 30, 2025"
4,21,Bond loan(s) issued by Jönköpings kommun will be admitted to trading on Nasdaq STO Corporate Bonds (Record Id 314235) | Bond loan(s) issued by Jönköpings kommun will be admitted to trading on Nasdaq STO Sustainable Bonds (Record Id 314093) | Bond loan(s) issued by Lunds Kommun will be admitted to trading on Nasdaq STO Corporate Bonds (Record Id 313288) | Bond loan(s) issued by Linköpings Kommun will be admitted to trading on Nasdaq STO Sustainable Bonds (Record Id 313770) | Bond loan(s) issued by Industrivärden AB will be admitted to trading on Nasdaq STO Corporate Bonds (Record Id 314005)
5,123,Fortum Corporation: Managers' transactions - Tiina Tuomela | Fortum Corporation: Managers' transactions - Mikael Rönnblad | Fortum Corporation: Managers' transactions - Mikael Lemström | Fortum Corporation: Managers' transactions - Petra Lundström | Fortum Corporation: Managers' transactions - Markus Rauramo
6,75,A.P. Møller - Mærsk A/S - Transactions in connection with share buy-back program | A.P. Møller - Mærsk A/S - Transactions in connection with share buy-back program | Initiation of share buyback program of up to an additional 20 mEUR | Transactions in connection with share buyback programme | Sydbank A/S share buyback programme: transactions in week 33
7,275,"Capnor Weasel Bidco Oyj, Half-Year Financial Report January-June 2025 | Viking Line: A challenging half-year with improved results in the second quarter | I-Tech AB (publ) (ticker: ITECH) publish the interim report for the second quarter 2025 | CORRECTION: Pro Kapital Council approved Consolidated Interim Report for Ii Quarter and 6 Months of 2025 (Unaudited) | CORRECTION: Pro Kapital Council approved Consolidated Interim Report for II Quarter and 6 Months of 2025 (Unaudited)"
8,55,Stock Quote Notification for Alvotech | Stock Quote Notification for Alvotech | Stock Quote Notification for Alvotech | Stock Quote Notification for Alvotech | Stock Quote Notification for Alvotech
9,53,Indutrade: Verify your subscription | Mycronic: Verify your subscription | Nolato: Verify your subscription | Addnode Group: Verify your subscription | Nyfosa: Verify your subscription
