Symbol;Issuer Fullname;ISIN;BBTicker
2CUREX;2cureX AB;SE0010468124;
4C;4C Group AB;SE0017936891;    
AAC;AAC Clyde Space AB;SE0021020716;
AAK;AAK AB;SE0011337708;AAK SS
FASTAT;AB Fastator;SE0015407382;
ABI*;AB Igrene;SE0006091476;
ABAS;ABAS Protect AB;SE0018588659;
ABB;ABB Ltd;CH0012221716;ABB SS
ABIG;Abelco Investment Group AB (publ);SE0003617075;
ABERA;Abera Bioscience AB;SE0015245097;
ABSO;Absolent Air Care Group AB;SE0006256558;
ABSL B;Absolicon Solar Collector AB;SE0018396947;
ACAD;AcadeMedia AB;SE0007897079;ACAD SS
ACARIX;Acarix AB;SE0009268717;
ACAST;Acast AB;SE0015960935;
ACCON;Acconeer AB;SE0010546242;
ACOU;AcouSort AB;SE0009189608;
ACRI A;Acrinova AB;SE0015660014;
ACRI B;Acrinova AB;SE0015660030;
ACROUD;ACROUD AB;SE0001863291;
ATIC;Actic Group AB;SE0009269467;ATIC SS
ACTI;Active Biotech AB;SE0001137985;ACTI SS
ACUC;AcuCort AB;SE0009695927;
ACUVI;Acuvi AB;SE0017833171;
ALIF B;AddLife AB;SE0014401378;ALIFB SS
ANOD B;Addnode Group AB;SE0017885767;ANODB SS
ADDT B;Addtech AB;SE0014781795;ADDTB SS
ADDV A;ADDvise Group AB;SE0001306119;
ADDV B;ADDvise Group AB;SE0007464862;
ADTR;Adtraction Group AB;SE0016833149;
ADVE;Advenica AB;SE0006219473;
ADVBOX;Adventure Box Technology AB;SE0012955276;
ADVT;Adverty AB;SE0011724889;
AERW B;Aerowash AB;SE0009346299;
AEC;AFRICA ENERGY CORP.;CA00830W5019;
AFRI;Africa Resources AB (publ);SE0009496482;
AFRY;AFRY AB;SE0005999836;
AGES B;AGES Industri AB;SE0005799046;AGES SS
AGTIRA B;Agtira AB;SE0008588354;
AIK B;AIK Fotboll;SE0000598278;
AINO;Aino Health AB (publ);SE0009242555;
ALCA;Alcadon Group AB;SE0008732218;
ALFA;Alfa Laval AB;SE0000695876;ALFA SS
ALIG;Alimak Group AB;SE0007158910;ALIG SS
ALLEI;Alleima AB;SE0017615644;
ATORX;Alligator Bioscience AB;SE0024173637;ATORX SS
ALLIGO B;Alligo AB;SE0009922305;
ALM;ALM Equity AB;SE0018741985;ALM SS
ALM PREF;ALM Equity AB;SE0004109627;
ALPCOT B;Alpcot Holding AB;SE0016845655;
ALZCUR;AlzeCure Pharma AB;SE0010133785;
ALZ;Alzinova AB;SE0007413455;
AMBEA;Ambea AB;SE0009663826;AMBEA SS
AMH2 B;Amhult 2 AB;SE0001356932;
AMIDO;Amido AB;SE0013042108;
ANGL;Angler Gaming Plc;MT0000650102;
ANNE B;Annehem Fastigheter AB;SE0015221684;
ANNX;Annexin Pharmaceuticals AB;SE0025159387;
ANOT*;Anoto Group AB;SE0010415281;ANOT SS
ANTCO B;ANTCO. Investment Group AB;SE0018690349;
APTA;Aptahem AB;SE0022447173;
AQ;AQ Group AB;SE0022062196;AQ SS
AQUAT;Aquaticus Real Estate AB;SE0015244132;
ARBO A;Arbona AB;SE0003210590;
ALONNR B;Archelon Natural Resources AB;SE0020355188;
ARCOMA;Arcoma AB;SE0006219176;
ARCTIC*;Arctic Blue Beverages AB;SE0017769136;
ARCT;Arctic Minerals AB;SE0024172779;ARCT SS
ARP;Arctic Paper S.A;PLARTPR00012;ARP SS
ARION SDB;Arion banki hf.;SE0010413567;ARIONSDB SS
ARISE;Arise AB;SE0002095604;ARISE SS
ARJO B;Arjo AB;SE0010468116;ARJOB SS
ARPL;Arla Plast AB;SE0015810817;
AGROUP;Arlandastad Group AB;SE0016276851;
ACE;Ascelia Pharma AB;SE0010573113;
ASSA B;ASSA ABLOY  AB;SE0007100581;ASSAB SS
AZN;AstraZeneca PLC;GB0009895292;AZN SS
ATIN*;Athanase Innovation AB;SE0018014060;
ATCO A;Atlas Copco AB;SE0017486889;ATCOA SS
ATCO B;Atlas Copco AB;SE0017486897;ATCOB SS
ATRLJ B;Atrium Ljungberg AB;SE0024320832;ATRLJB SS
ATANA;Attana AB;SE0010547273;
ATT;Attendo AB;SE0007666110;ATT SS
ALIV SDB;Autoliv Inc.;SE0021309614;ALIV SS
AZA;Avanza Bank Holding AB;SE0012454072;AZA SS
AVEN;Avensia AB;SE0000671745;
AVT B;Avtech Sweden AB;SE0004270445;AVTB SS
AXFO;Axfood AB;SE0006993770;AXFO SS
AXIC A;aXichem AB;SE0005250719;AXICA SS
AXOLOT;Axolot Solutions Holding AB;SE0009414303;
B3;B3 Consulting Group AB;SE0008347660;B3 SS
BACKA;Backaheden Fastighets AB;SE0015221619;
BACTI B;Bactiguard Holding AB;SE0005878741;BACTIB SS
BALCO;Balco Group AB;SE0010323998;BALCO SS
BUSER;Bambuser AB;SE0009663834;
BAWAT;Bawat Water Technologies AB;SE0017487424;
BEGR;BE Group AB;SE0008321921;BEGR SS
BEAMMW B;BeammWave AB;SE0016799068;
BEIA B;Beijer Alma AB;SE0011090547;BEIAB SS
BEIJ B;Beijer Ref AB;SE0015949748;BEIJB SS
BEO SDB;Beowulf Mining PLC;SE0022240073;
BERG B;Bergman & Beving Aktiebolag;SE0000101362;BERGB SS
BETS B;Betsson AB;SE0022726485;BETSB SS
BETCO;Better Collective A/S;DK0060952240;BETCO SS
BEYOND;Beyond Frames Entertainment AB;SE0011614965;
BHG;BHG Group AB;SE0010948588;BHG SS
BIBB;BiBBInstruments AB;SE0010102095;
BICO;BICO Group AB;SE0013647385;
BILI A;Bilia AB;SE0009921588;BILIA SS
BILL;Billerud Aktiebolag;SE0000862997;BILL SS
BIM;BIMobject AB;SE0011644376;BIM SS
BINERO;Binero Group AB;SE0005249570;
BIOA B;BioArctic AB;SE0010323311;BIOAB SS
BIOEX;Bioextrax AB;SE0016276752;
BIOF;Biofrigas Sweden AB;SE0014262887;
BIOG B;BioGaia AB;SE0017769995;BIOGB SS
BINV;BioInvent International AB;SE0015244520;BINV SS
BIOSGN;Biosergen AB;SE0016013460;
BIOT*;Biotage AB;SE0000454746;BIOT SS
BIOVIC B*;Biovica International AB;SE0008613731;
BORG;Björn Borg AB;SE0021921327;BORG SS
BLICK;Blick Global Group AB;SE0019172735;
BLUE;Bluelake Mineral AB;SE0015382148;
BODY;Bodyflight Sweden AB;SE0011089929;
BOKUS;Bokusgruppen AB;SE0016074256;
BOL;Boliden AB;SE0020050417;BOL SS
BOMILL;BoMill AB;SE0014583332;
BONAV A;Bonava AB;SE0008091573;BONAVA SS
BONAV B;Bonava AB;SE0008091581;BONAVB SS
BONEX;BONESUPPORT HOLDING AB;SE0009858152;BONEX SS
BONG;Bong AB;SE0000396061;BONG SS
BONAS;Bonäsudden Holding AB;SE0007157953;
BOOZT;Boozt AB;SE0009888738;BOOZT SS
BOTX;Botnia Exploration Holding AB;SE0010494708;BOTX SS
BOUL;Boule Diagnostics AB;SE0011231158;BOUL SS
BPCINS;BPC Instruments AB;SE0017130826;
BRAV;Bravida Holding AB;SE0007491303;BRAV SS
BRE2;Bredband2 i Skandinavien AB;SE0000648669;BRE2 SS
BRILL;Brilliant Future AB;SE0015811625;
BRIN B;Brinova Fastigheter AB;SE0008347652;BRINB SS
BRIX;Briox AB;SE0008588131;
BTS B;BTS Group AB;SE0000805426;BTSB SS
BUFAB;Bufab AB;SE0025010671;BUFAB SS
BULTEN;Bulten AB;SE0003849223;BULTEN SS
BURE;Bure Equity  AB;SE0000195810;BURE SS
BMAX;Byggmax Group AB;SE0003303627;BMAX SS
AJA B;Byggmästare Anders J Ahlström Holding AB;SE0006510491;
BYGGP;ByggPartner Gruppen AB;SE0009242324;
CRAD B;C-RAD AB;SE0002016352;CRADB SS
CAG;CAG Group AB;SE0011923341;
CAMX;Camurus AB;SE0007692850;CAMX SS
CANDLE B;Candles Scandinavia AB;SE0016797773;
CANTA;Cantargia AB;SE0006371126;CANTA SS
CRBX;Carbiotix AB;SE0022760252;
CARE;Careium AB;SE0017131824;
CASE;Case Group AB;SE0017082514;
CAST;Castellum AB;SE0000379190;CAST SS
CAT A;Catella AB;SE0000188500;CATA SS
CAT B;Catella AB;SE0000188518;CATB SS
CATE;Catena AB;SE0001664707;CATE SS
CTM;Catena Media P.L.C;MT0001000109;CTM SS
CCC*;Cavotec SA;CH0136071542;CCC SS
CDON;CDON AB;SE0015191911;CDON SS
CEDER;Cedergrenska AB;SE0015949946;
CI*;Cell Impact AB;SE0017885379;
CEVI;CellaVision AB;SE0000683484;CEVI SS
CHARGE;ChargePanel AB;SE0017083835;
CHECK;Checkin.com Group AB;SE0015810502;
CMH;Chordate Medical Holding AB;SE0022726139;
CIBUS;Cibus Nordic Real Estate AB;SE0010832204;
CINIS;Cinis Fertilizer AB;SE0018040784;
CINT;Cint Group AB;SE0015483276;
CIRCHE;CirChem AB;SE0015193529;
CLAS B;Clas Ohlson AB;SE0000584948;CLASB SS
CLAV;Clavister AB;SE0005308558;CLAV SS
CLEMO*;Clean Motion AB;SE0008216303;
CLEM;Clemondo Group AB;SE0023468400;
CLIME B;Climeon AB;SE0023837182;
CLS B;Clinical Laserthermia Systems AB;SE0022049920;CLSB SS
CLA B;Cloetta AB;SE0002626861;CLAB SS
CNI5 PREF P2;CNI Nordic 5 AB;SE0011090646;
CDMIL;CodeMill AB;SE0013914819;
COEGIN;Coegin Pharma AB;SE0020357754;
CF1 PREF P2;Coeli Fastighet I AB;SE0009695851;
CF2 PREF P2;Coeli Fastighet II AB;SE0012012672;
CPE I;Coeli Private Equity;SE0012012268;
CS;CoinShares International Ltd;JE00BLD8Y945;
COMBI*;Combigene AB;SE0016101935;
CX;CombinedX AB;SE0012065589;
COMINT;Comintelli AB;SE0011751569;
COMPDM;Compodium International AB;SE0022088233;
CNCJO B;Concejo AB;SE0000236382;
CAM B;Consensus Asset Management AB;SE0015191739;
COOR;Coor Service Management Holding AB;SE0007158829;COOR SS
CORE A;Corem Property Group AB;SE0010714279;COREA SS
CORE B;Corem Property Group AB;SE0010714287;COREB SS
CORE D;Corem Property Group AB;SE0015961594;
CORE PREF;Corem Property Group AB;SE0010714311;COREPREF SS
CLBIO;Corline Biomedical AB;SE0006887451;
CRED A;Creades AB;SE0015661236;CREDA SS
CRWN;Crown Energy;SE0004210854;
CFISH;Crunchfish AB;SE0009190192;
CTEK;CTEK AB;SE0016798763;
CTT;CTT Systems AB;SE0000418923;CTT SS
CYB1;Cyber Security 1 AB;SE0007604061;
