cluster,auto_label,sim,coverage,score,confident
0,Earnings report,0.5878249406814575,0.5,0.5614774584770202,True
1,AGM/EGM,0.5844975709915161,0.5,0.5591482996940612,True
2,AGM/EGM,0.4173159599304199,0.0,0.29212117195129395,False
3,Earnings report,0.633042573928833,0.25,0.5181298017501831,True
4,AGM/EGM,0.6804821491241455,0.75,0.7013375043869018,True
5,AGM/EGM,0.2735638916492462,0.0,0.19149472415447233,False
6,AGM/EGM,0.5119425654411316,0.0,0.35835979580879207,False
7,AGM/EGM,0.5536631345748901,0.0,0.38756419420242305,True
8,AGM/EGM,0.3632732629776001,0.0,0.25429128408432006,False
9,Earnings report,0.6551732420921326,0.25,0.5336212694644927,True
10,AGM/EGM,0.41622376441955566,0.0,0.2913566350936889,False
11,AGM/EGM,0.3381653428077698,0.0,0.23671573996543882,False
12,Bond/debt issue,0.2580268979072571,0.0,0.18061882853507993,False
13,Product/partnership,0.3746582865715027,0.0,0.26226080060005186,False
14,AGM/EGM,0.30025506019592285,0.0,0.21017854213714598,False
15,AGM/EGM,0.555330753326416,0.0,0.3887315273284912,True
16,Managers' transactions,0.703071117401123,0.4166666666666667,0.6171497821807861,True
17,Earnings report,0.5308318138122559,0.5833333333333334,0.5465822696685791,True
18,Share buyback,0.6993761658668518,1.0,0.7895633161067962,True
19,AGM/EGM,0.3726806640625,0.0,0.26087646484375,False
20,AGM/EGM,0.5945700407028198,0.0,0.4161990284919739,True
21,AGM/EGM,0.5364032983779907,0.0,0.3754823088645935,False
22,Bond/debt issue,0.6269823312759399,0.6666666666666666,0.6388876318931579,True
23,Managers' transactions,0.30615466833114624,0.0,0.21430826783180235,False
24,Earnings report,0.40422961115837097,0.25,0.3579607278108597,True
25,Bond/debt issue,0.519135594367981,0.0,0.36339491605758667,False
26,Share buyback,0.5363715291023254,0.0,0.37546007037162776,False
27,Earnings report,0.5596622228622437,0.8333333333333334,0.6417635560035706,True
28,Sustainability/ESG,0.4181365668773651,0.0,0.2926955968141556,False
29,Sustainability/ESG,0.5415294766426086,0.0,0.379070633649826,False
