press_release_id,true_cid,suggested_cid,suggested_name,cat_sim,cat_margin,decision,release_date,company_name,title,snippet,source,source_url
197778515008a827,,admission_delisting,Delisting / Trading halt,0.7883,0.0039,needs_review_margin,2025-06-16,Finnair,Opt-In,"Thank you for subscribing to Finnairs services! To activate the subscription, we request you to confirm your e-mail address. To do this, please click this link:",gmail,
1977788a9206cd44,,admission_delisting,Delisting / Trading halt,0.7771,0.0098,needs_review_margin,2025-06-16,Google,Information about your new Google Account,"Hi Richard, Welcome to Google. Your new account comes with access to Google products, apps and services. Confirm your options are right for you Review and change your privacy and security options. Confirm About your Google Account A Google Account allows you to access a range of Google services, such as Gmail and Google Drive. Your account also offers access to some additional features that require signing in. For example, when you sign in to Google Maps, you can save your ""Home"" and ""Work"" addresses. And when you sign in to YouTube you can like videos, subscribe to channels, and create your o",gmail,
1977a1746adf0ec4,,admission_delisting,Delisting / Trading halt,0.7882,0.0062,needs_review_margin,2025-06-16,Maersk,Thank you! We’ve registered your subscription,"MaerskIf you have trouble viewing this email, click here to view an online version. ALL THE WAY Dear Customer, Thank you for subscribing! You'll soon receive business updates to help you get the most out of your supply chain. Did you remember to update your email preferences? If not, you can do it below. It’ll only take a minute: By updating your preferences, you can select your region(s) of interest and the news and insights that matter the most to your business: Logistics Insights: Deep-dive into insights on the future of supply chain Products and services: Be the first to know about new sol",gmail,
1977a39bdc286ed9,,dividend,Dividend,0.7937,0.0033,needs_review_margin,2025-06-16,Addtech,Opt-In,"Thank you for subscribing to Addtech services! To activate the subscription, we request that you confirm your e-mail address. Do this by clicking on this link: Best regards, [*]",gmail,
1977a39ee890fcb1,,other_corporate_update,Other / Corporate update,0.7872,0.0008,needs_review_margin,2025-06-16,Addtech,Welcome,"[*] Thank you for subscribing to information from Addtech. From now on, you will receive information from Addtech to this e-mail address. If you wish to unsubscribe, please click on the link below. (if you cannot click it, copy it and paste it into a Web browser) Best regards, Addtech AB",gmail,
197bf9d0c66b5237,,legal_regulatory_compliance,Legal / Regulatory / Compliance,0.7414,0.0,needs_review_margin,2025-06-16,Google,Check your Google Account privacy settings,"[image: Google] See and manage your privacy settings with the Privacy Checkup It’s time to review the privacy settings in your Google Account. See and adjust what data Google uses to personalize your experience, as well as what information you share with friends or make public. Take a few minutes now to update your settings. Check your privacy settings Privacy Checkup is available in your Google Account ( ) You received this email to let you know about important changes to your Google Account and services. © 2025 Google Ireland Ltd., Gordon House, Barrow Street, Dublin 4, Ireland",gmail,
1977c75715b3c483,,admission_delisting,Delisting / Trading halt,0.7781,0.0121,needs_review_margin,2025-06-17,Ritzau,Ambu A/S: Activate your release subscription,Activate your release subscription Activate your release subscription Click the link below to begin activation of your subscription or to cancel the subscription request to publisher Ambu A/S. This service is provided by Via Ritzau. When you accept to be registrered as subscriber and by that receive pressreleases via Ritzau you also accept that we share stastistics about what pressreleases you have opened with those of Ritzaus existing customers that have sent pressreleases to you: . ​,gmail,
1977c7b4745b458a,,admission_delisting,Delisting / Trading halt,0.792,0.0007,needs_review_margin,2025-06-17,ASSA ABLOY,Opt-In,"Thank you for subscribing to ASSA ABLOY services! To activate the subscription, we request that you confirm your e-mail address. Do this by clicking on this link:",gmail,
1977cf7e057be072,,admission_delisting,Delisting / Trading halt,0.7918,0.0055,needs_review_margin,2025-06-17,Autoliv,Opt-In,"[*] Thank you for subscribing to information from Autoliv. To start your subscription you must activate your e-mail address by clicking the link below (if you cannot click the link, you can also copy and paste it into a web browser).",gmail,
1977dc3719601308,,incidents_controversies,Incidents / Controversies,0.7657,0.0009,needs_review_margin,2025-06-17,Finnair,Finnair to cancel approximately 128 flights due to industrial action at Helsinki Airport on 19 June,"[*] Finnair to cancel approximately 128 flights due to industrial action at Helsinki Airport on 19 June The Finnish Aviation Union IAU has announced industrial action at Finnair’s home hub, Helsinki Airport, causing extensive disruptions to traffic on Thursday, 19 June. The four-hour industrial actions target different work shifts and thus affect many functions essential also to Finnair's flights throughout the day, such as ground handling operations and catering services. As industrial action will cause significant disruptions to the operation of flights, Finnair will have to cancel approxima",gmail,
