press_release_id,ml_pred_cid,ml_conf_fused,ml_margin_fused,final_source,final_cid,final_decision,title,snippet
19788a5ee85f420b,admission_listing,0.0531,0.0001,rules,legal_regulatory_compliance,by_rules,COMPANY OBTAINS FDA CLEARANCE FOR FIRST-EVER SINGLE-USE FLEXIBLE CYSTO-NEPHROSCOPY SOLUTION,"COMPANY OBTAINS FDA CLEARANCE FOR FIRST-EVER SINGLE-USE FLEXIBLE CYSTO-NEPHROSCOPY SOLUTION The FDA clearance for the COMPANY® aScope™ 5 Cysto HD marks a historic milestone as the first ever single-use cysto-nephroscope to receive such clearance in the US. It follows the CE mark in Europe earlier this year, representing an important step forward in endoscopic technology and reinforcing COMPANY's commitment to innovation and advancement in urology care. COMPANY OBTAINS FDA CLEARANCE FOR FIRST-EVER SINGLE-USE FLEXIBLE CYSTO-NEPHROSCOPY SOLUTION 19.6.2025 16:43:47 | COMPANY | Press release The FD"
1978f50da17513ac,admission_delisting,0.0535,0.0,ml,admission_delisting,needs_review_low_sim,Weekly Summary Alert for COMPANY,"COMPANY added the following items during the week of June 16, 2025 ALVO Monday Tuesday Wednesday Thursday Friday Opening Price $9.75 $9.30 $9.20 N/A $8.90 Last Trade $9.34 $9.22 $9.01 N/A $9.35 Price Change -$0.40 -$0.12 -$0.21 N/A +$0.34 Percent Change -4.11% -1.28% -2.28% N/A +3.77% Day High $9.75 $9.45 $9.21 N/A $9.40 Day Low $9.29 $9.21 $8.98 N/A $8.73 Volume 105,879 81,445 143,329 N/A 268,158 Visit the website → You are subscribed to COMPANY Investor Relations email alerts. To unsubscribe from all alerts, please click here. COMPANY Saemundargata 15-19, 102, Reykjavik,, Iceland Service pro"
1979c57db691ed99,admission_delisting,0.0536,0.0002,rules,share_buyback,by_rules,Company Announcement no 30 - COMPANY Bank share buy-back programme,"Company announcementCompany Announcement no 30 COMPANY Bank share buy-back programme: Transactions in week 25. Read more Dont miss out on news You receive this type of e-mail when we publish a company announcement, but did you know that you can also be notified when we publish press releases or articles? Log on to your profile and sign up for your preferred subscriptions: Log-on Contact us It is not possible to reply on this mail but you can contact us via COMPANY Bank Group, Bernstorffsgade 40, 1577 København V, Tel. +45 33 44 00 00 Unsubscribe/Change e-mail address COMPANY Bank A/S CVR-nr. 6"
1979bceaa0e96c6a,admission_delisting,0.0533,0.0002,ml,admission_delisting,needs_review_low_sim,"European Medicines Agency Recommends Market Approval of AVT06, COMPANY's Proposed Biosimilar to Eylea® (aflibercept)","June 23, 2025 4:00 AM EDT European Medicines Agency Recommends Market Approval of AVT06, COMPANY's Proposed Biosimilar to Eylea® (aflibercept) View this release → Or click here to view all releases. You are subscribed to COMPANY Investor Relations email alerts. To unsubscribe from all alerts, please click here. COMPANY Saemundargata 15-19, 102, Reykjavik,, Iceland Service provided by Notified"
197b34f11f5f16d1,admission_listing,0.0534,0.0001,ml,admission_listing,needs_review_low_sim,Weekly Summary Alert for COMPANY,"COMPANY added the following items during the week of June 23, 2025 All Releases First market launch of the adrenaline nasal spray, EURneffy®, for treatment of adults and children in Germany ALKB Monday Tuesday Wednesday Thursday Friday Opening Price 178.50 184.40 183.90 182.30 184.90 Last Trade 183.50 184.30 182.70 184.90 185.30 Price Change +2.50 +0.80 -1.60 +2.20 +0.40 Percent Change +1.38% +0.44% -0.87% +1.20% +0.22% Day High 183.90 186.50 185.50 186.00 186.70 Day Low 178.50 183.60 182.10 182.30 184.40 Volume 122,951 128,304 114,462 123,449 97,001 Visit the website → You are subscribed to C"
197b1514b41847fe,admission_delisting,0.0539,0.0001,ml,admission_delisting,needs_review_low_sim,Customer advisory: Middle East situation update,"MaerskIf you have trouble viewing this email, click here to view an online version. Customer Advisory Middle East Situation Update 27 June 2025 Dear Customer, Due to escalations in tensions in the Middle East that have impacted operations involving Iran and Israel, COMPANY has previously announced a temporary suspension of vessel calls to the Port of Haifa. With the prospect of current cease-fire agreement bringing de-escalation to the conflict, we have decided to resume vessel calls to the Port of Haifa, and acceptance for both import and export cargo is now open. We will continue to monitor "
197bfe4823cb6195,admission_delisting,0.0536,0.0002,rules,share_buyback,by_rules,Company Announcement no 31 - COMPANY Bank share buy-back programme,"Company announcementCompany Announcement no 31 COMPANY Bank share buy-back programme: Transactions in week 26. Read more Dont miss out on news You receive this type of e-mail when we publish a company announcement, but did you know that you can also be notified when we publish press releases or articles? Log on to your profile and sign up for your preferred subscriptions: Log-on Contact us It is not possible to reply on this mail but you can contact us via COMPANY Bank Group, Bernstorffsgade 40, 1577 København V, Tel. +45 33 44 00 00 Unsubscribe/Change e-mail address COMPANY Bank A/S CVR-nr. 6"
197c5ca0f7830ba5,admission_delisting,0.0536,0.0001,ml,admission_delisting,needs_review_low_sim,COMPANY Bank: New consensus estimates,"New consensus estimates. We have received new earnings estimates for COMPANY Bank for Q2 2025, FY 2025, 2026, 2027. See consensus estimates here It is not possible to reply on this mail but you can contact us via COMPANY Bank Group, Bernstorffsgade 40, 1577 København V, Tel. 33 44 00 00 Unsubscribe/Change e-mail address COMPANY Bank A/S CVR-nr. 61126228 - København Denne mail kan indeholde fortrolig information. Har du modtaget mailen ved en fejl, beder vi dig derfor informere afsender om fejlen - og efterfølgende slette mailen i dit system uden at videresende eller kopiere den. Selv om mailen"
197c501b8d97a4e7,admission_delisting,0.0531,0.0,ml,admission_delisting,needs_review_low_sim,COMPANY and Advanz Pharma Enter into European Supply and Commercialization Agreement for Biosimilar Candidate to Cimzia® (certolizumab pegol),"July 1, 2025 4:00 AM EDT COMPANY and Advanz Pharma Enter into European Supply and Commercialization Agreement for Biosimilar Candidate to Cimzia® (certolizumab pegol) View this release → Or click here to view all releases. You are subscribed to COMPANY Investor Relations email alerts. To unsubscribe from all alerts, please click here. COMPANY Saemundargata 15-19, 102, Reykjavik,, Iceland Service provided by Notified"
197c9efd7c6d3bc6,admission_listing,0.0531,0.0001,rules,earnings_report,by_rules,Invitation to the presentation of COMPANY's Q2 report on 17 July starting at 09:00am (CEST),"[*] Invitation to the presentation of COMPANY's Q2 report on 17 July starting at 09:00am (CEST) COMPANY will release its Q2 2025 report on Thursday 17 July 2025 at 08:00 am (CEST). A conference call and webcast will be held following the release of the results, starting at 09:00 am (CEST) and continuing until 10:00 am (CEST). The presentation will be hosted by Nico Delvaux, President & CEO, and Erik Pieder, CFO, followed by questions and answers. Slides used during the presentation will be available on our website shortly after the release of the report. Enter the conference call and download "
197d75cb92e07e2a,admission_delisting,0.0533,0.0,ml,admission_delisting,needs_review_low_sim,Weekly Summary Alert for COMPANY,"COMPANY added the following items during the week of June 30, 2025 ALKB Monday Tuesday Wednesday Thursday Friday Opening Price 186.30 187.90 188.00 185.90 186.50 Last Trade 186.90 187.80 185.90 186.50 189.80 Price Change +1.60 +0.90 -1.90 +0.60 +3.30 Percent Change +0.86% +0.48% -1.01% +0.32% +1.77% Day High 188.50 188.70 188.00 188.10 190.00 Day Low 185.60 186.20 183.60 185.90 185.50 Volume 149,078 143,110 208,023 79,181 291,121 Visit the website → You are subscribed to COMPANY Investor Relations' email alerts. To unsubscribe from all alerts, please click here. COMPANY Bøge Allé 6-8 DK-2970, "
197d75bab1ac0a1e,admission_listing,0.0533,0.0001,ml,admission_listing,needs_review_low_sim,Weekly Summary Alert for COMPANY,"COMPANY added the following items during the week of June 30, 2025 News COMPANY and Advanz Pharma Enter into European Supply and Commercialization Agreement for Biosimilar Candidate to Cimzia® (certolizumab pegol) Granting of Stock Options and Vesting of Restricted Share Units Notification for the purposes of article 13 of the Luxembourg law of 11 January 2008 on transparency requirements for issuers SEC Filing 6-K ALVO Monday Tuesday Wednesday Thursday Friday Opening Price $9.23 $9.03 $9.05 $9.01 N/A Last Trade $9.12 $9.07 $8.93 $9.19 N/A Price Change -$0.02 -$0.05 -$0.14 +$0.26 N/A Percent C"
