cluster,cid,category_name,press_release_id,release_date,company_name,title,snippet,_silhouette,cat_sim,cat_margin,decision
0,share_buyback,Share buyback,198cc1b8a99edaa9,2025-08-21,Partnera Oyj,"Partnera Oyj:n puolivuosikatsaus 1.1.-30.6.2025: Strategian toteuttaminen etenee suunnitellusti, omistus Foamit Groupista nousi 100 prosenttiin ja liiketoimintaa kehitetään voimakkaasti","Partnera Oyj:n puolivuosikatsaus 1.1.-30.6.2025: Strategian toteuttaminen etenee suunnitellusti, omistus Foamit Groupista nousi 100 prosenttiin ja liiketoimintaa kehitetään voimakkaasti Julkaistu: 2025-08-21 12:10:00 CEST Partnera Oyj - Puolivuosikatsaus Partnera Oyj:n puolivuosikatsaus 1.1.-30.6.2025: Strategian toteuttaminen etenee suunnitellusti, omistus Foamit Groupista nousi 100 prosenttiin ja liiketoimintaa kehitetään voimakkaasti Partnera Oyj Yhtiötiedote 21.8.2025 klo 13.10 PUOLIVUOSIKATSAUS TAMMI–KESÄKUU 2025 (TILINTARKASTAMATON) STRATEGIAN TOTEUTTAMINEN ETENEE SUUNNITELLUSTI, OMISTUS",0.2034,0.7966,0.0007,needs_review_margin
0,earnings_report,Earnings report,198d0e64cab7b60c,2025-08-22,Rebl Group Oyj,Rebl Group -konsernin puolivuosikatsaus 1.1.-30.6.2025,"Rebl Group -konsernin puolivuosikatsaus 1.1.-30.6.2025 Julkaistu: 2025-08-22 10:30:00 CEST Rebl Group Oyj - Puolivuosikatsaus Rebl Group -konsernin puolivuosikatsaus 1.1.-30.6.2025 REBL GROUP OYJ PUOLIVUOSIKATSAUS 22.8.2025 KLO 11.30 LIIKEVAIHTO JA KÄYTTÖKATE HEIKKENIVÄT VUODEN 2025 TOISELLA VUOSINELJÄNNEKSELLÄ Rebl Group -konserni on tilikaudella 2024 luopunut medialiiketoiminnastaan ja luokitellut medialiiketoiminnan lopetetuksi toiminnoksi. Tässä puolivuosikatsauksessa kaikki katsauskauden sekä vertailukauden luvut käsittävät vain konsernin jatkuvat toiminnot, ellei toisin mainita. Vuoden 2",0.1772,0.8021,0.0014,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198caffc2da23009,2025-08-21,Kojamo Oyj,Kojamo Oyj:n puolivuosikatsaus 1.1.-30.6.2025,"Kojamo Oyj:n puolivuosikatsaus 1.1.-30.6.2025 Julkaistu: 2025-08-21 07:00:00 CEST Kojamo Oyj - Puolivuosikatsaus Kojamo Oyj:n puolivuosikatsaus 1.1.-30.6.2025 Kojamo Oyj Pörssitiedote 21.8.2025 klo 8.00 Kojamo Oyj:n puolivuosikatsaus 1.1.–30.6.2025 Vuokrausasteen nousu jatkui vahvana Tämä on tiivistelmä tammi–kesäkuun puolivuosikatsauksesta, joka on kokonaisuudessaan tämän tiedotteen liitteenä sekä ladattavissa yhtiön internet-sivuilla osoitteessa . Vertailuluvut suluissa viittaavat edellisvuoden vastaavaan jaksoon, ellei toisin ole mainittu. Tässä puolivuosikatsauksessa esitetyt luvut ovat ti",0.1979,0.8006,0.0039,needs_review_margin
0,guidance_outlook,Guidance / Outlook,198e4dafee46dae6,2025-08-26,Solwers Oyj,Solwers Oyj:n puolivuosiraportti 1.1.-30.6.2025 (tilintarkastamaton),"Solwers Oyj:n puolivuosiraportti 1.1.-30.6.2025 (tilintarkastamaton) Julkaistu: 2025-08-26 07:30:00 CEST Solwers Oyj - Puolivuosikatsaus Solwers Oyj:n puolivuosiraportti 1.1.-30.6.2025 (tilintarkastamaton) Maltillista liikevaihdon kasvua; toimenpiteitä käynnissä kannattavuuuden parantamiseksi Solwers Oyj, Yhtiötiedote, 26.8.2025 klo 8.30 Tämä tiedote on tiivistelmä Solwers Oyj:n tammi-kesäkuu 2025 puolivuosiraportista. Täydellinen taloudellinen raportti on tämän tiedotteen liitteenä ja saatavilla yrityksen verkkosivuilla osoitteessa . Tämän puolivuosiraportin luvut (tammi-kesäkuu 2025) ovat ti",0.1305,0.7873,0.0015,needs_review_margin
0,guidance_outlook,Guidance / Outlook,198ac50e2a631663,2025-08-15,Fortum,"Fortumin tammi-kesäkuun 2025 puolivuosikatsaus: Saavutettu sähkönhinta vahva, mutta alhaiset tuotantomäärät ja markkinahinnat painoivat tulosta","Fortumin tammi-kesäkuun 2025 puolivuosikatsaus: Saavutettu sähkönhinta vahva, mutta alhaiset tuotantomäärät ja markkinahinnat painoivat tulosta Julkaistu: 2025-08-15 08:00:00 CEST Fortum - Puolivuosikatsaus Fortumin tammi-kesäkuun 2025 puolivuosikatsaus: Saavutettu sähkönhinta vahva, mutta alhaiset tuotantomäärät ja markkinahinnat painoivat tulosta FORTUM OYJ PUOLIVUOSIKATSAUS 15.8.2025 KLO 9.00 Tämä tiedote on tiivistelmä Fortumin tammi-kesäkuun 2025 puolivuosikatsauksesta. Tiedote kokonaisuudessaan on tämän pörssitiedotteen liitteenä pdf-tiedostona ja saatavilla Fortumin verkkosivuilla . Saa",0.1970,0.7883,0.0040,needs_review_margin
0,earnings_report,Earnings report,198bba83861e39c5,2025-08-18,Aallon Group Oyj,"Aallon Group Oyj:n puolivuosikatsaus 1.1. - 30.6.2025: Vahvaa kasvua yritysostoilla, liikevaihto kasvoi 14,2 %","Aallon Group Oyj:n puolivuosikatsaus 1.1. - 30.6.2025: Vahvaa kasvua yritysostoilla, liikevaihto kasvoi 14,2 % Julkaistu: 2025-08-18 07:30:00 CEST Aallon Group Oyj - Puolivuosikatsaus Aallon Group Oyj:n puolivuosikatsaus 1.1. - 30.6.2025: Vahvaa kasvua yritysostoilla, liikevaihto kasvoi 14,2 % (Tilintarkastamaton) Tämä tiedote on tiivistelmä Aallon Group Oyj:n puolivuosikatsauksesta tammi-kesäkuulta 2025. Puolivuosikatsaus kokonaisuudessaan on tämän yhtiötiedotteen liitteenä pdf-tiedostona sekä saatavilla myös yhtiön verkkosivuilla osoitteessa AALLON GROUP OYJ Yhtiötiedote, puolivuosikatsaus 1",0.1455,0.7934,0.0005,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198cb36c049f348f,2025-08-21,Lehto Group Oyj,Lehto Group Oyj: Puolivuosikatsaus 1.1.-30.6.2025,Lehto Group Oyj: Puolivuosikatsaus 1.1.-30.6.2025 Julkaistu: 2025-08-21 08:00:00 CEST Lehto Group Oyj - Puolivuosikatsaus Lehto Group Oyj: Puolivuosikatsaus 1.1.-30.6.2025 Lehto Group Oyj Puolivuosikatsaus 21.8.2025 klo 09:00 Painopiste sähkövarastohankkeiden kehityksessä Tämän katsauksen laadinnassa on noudatettu IAS 34 -standardia ja katsaus on laadittu jatkuvuuden periaatteella. Yhtiö noudattaa arvopaperimarkkinalain mukaista puolivuosiraportointia. Tämä puolivuosikatsaus on tilintarkastamaton. Tammi-kesäkuu 2025 Sähkövarastoliiketoiminnan kehitys Katsauskaudella Lehdon toiminnan painopiste,0.1971,0.7926,0.0028,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198ac514533d6c24,2025-08-15,Viking Line,"Viking Line: Haastava puolivuotiskausi, mutta parantunut tulos toisella neljänneksellä","Viking Line: Haastava puolivuotiskausi, mutta parantunut tulos toisella neljänneksellä Julkaistu: 2025-08-15 08:00:00 CEST Viking Line - Puolivuosikatsaus Viking Line: Haastava puolivuotiskausi, mutta parantunut tulos toisella neljänneksellä Viking Line Abp PUOLIVUOSIKATSAUS 15.08.2025, KLO 09.00 Haastava puolivuotiskausi, mutta parantunut tulos toisella neljänneksellä TOINEN KVARTAALI 2025 (vuoden 2024 toiseen kvartaaliin verrattuna) Liikevaihto oli 128,4 miljoonaa euroa (125,9 milj. euroa). Liiketoiminnan muut tuotot olivat 0,2 miljoonaa euroa (0,2 milj. euroa). Liiketulos oli 6,9 miljoonaa ",0.1847,0.7957,0.0017,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198d1afa01bb5741,2025-08-22,Arvo Sijoitusosuuskunta,Korjaus: Arvo Sijoitusosuuskunnan puolivuosikatsaus 1.1.-30.6.2025 (tilintarkastamaton),Korjaus: Arvo Sijoitusosuuskunnan puolivuosikatsaus 1.1.-30.6.2025 (tilintarkastamaton) Julkaistu: 2025-08-22 14:10:00 CEST Arvo Sijoitusosuuskunta - Puolivuosikatsaus Korjaus: Arvo Sijoitusosuuskunnan puolivuosikatsaus 1.1.-30.6.2025 (tilintarkastamaton) Pohjanmaan Arvo Sijoitusosuuskunta | Yhtiötiedote | 22.08.2025 klo 15:10:00 EEST Tämä on korjaus 22.8.2025 klo 7:40 julkaistuun yhtiötiedotteeseen koskien Arvo Sijoitusosuuskunnan puolivuosikatsausta 1.1.-30.6.2025. Aiemman ilmoituksen liitteenä olleessa puolivuosikatsauksessa sivun 6 piirakkagraafissa (Finanssisijoitukset 6/2025) on ollut vi,0.1907,0.7956,0.0099,needs_review_margin
0,equity_actions_non_buyback,Equity actions (non-buyback),198ac4308b248d31,2025-08-15,Elecster Oyj,Elecster-konsernin puolivuosikatsaus 1.1. - 30.6.2025,"Elecster-konsernin puolivuosikatsaus 1.1. - 30.6.2025 Julkaistu: 2025-08-15 07:45:28 CEST Elecster Oyj - Puolivuosikatsaus Elecster-konsernin puolivuosikatsaus 1.1. - 30.6.2025 ELECSTER OYJ PUOLIVUOSIKATSAUS 15.8.2025 KLO 8:45 ELECSTER-KONSERNIN PUOLIVUOSIKATSAUS 1.1. – 30.6.2025 YHTEENVETO Tammi-kesäkuu: Liikevaihto 16,7 MEUR (1-6/2024: 18,5 MEUR) Liikevoitto 0,5 MEUR (1,6 MEUR) Tulos ennen veroja -0,5 MEUR (1,7 MEUR) Tulos/osake -0,12 EUR (0,36 EUR) Omavaraisuusaste 59,5 % (54,7 %) Huhti-kesäkuu: Liikevaihto 9,0 MEUR (4-6/2024: 10,2 MEUR) Liikevoitto 0,5 MEUR (1,0 MEUR) Tulos ennen veroja 0,",0.1809,0.8010,0.0036,needs_review_margin
