release_date,company_name,title,full_text,category,title_clean,full_text_clean
2025-06-16,Finnair,Welcome,"
Welcome as subscriber at Finnair

From now on, you will receive information from Finnair to this e-mail address. 

To unsubscribe, please click on the link below.(If you can't click on the link, copy the link and paste it into your browser)

https://publish.ne.cision.com/Subscriber/Index/1AC35F8CE916C272408E4E6A701B6D7B
",unknown,Welcome,"Welcome as subscriber at Finnair From now on, you will receive information from Finnair to this e-mail address. To unsubscribe, please click on the link below.(If you can't click on the link, copy the link and paste it into your browser)"
2025-06-16,Vitec Software Group,Vitec Software Group: Verify your subscription,"Hi,,

You have requested to subscribe to releases from Vitec Software Group via MFN. In accordance with GDPR you must consent to receive these emails. If you have not requested this subscription, you can manage your subscriptions by clicking Manage below.

This is an automatically generated email – you cannot directly reply to it. Need help, or have questions? Contact us at support@modularfinance.com

Best regards,
MFN - https://mfn.se/all/a/vitec-software-group

Copyright © 2025 Modular Finance AB

To complete the subscription please click Verify https://hub.mfn.se/verify/0ef47e55-5472-4c78-8cd8-43e9a4834fbc?hub.mode=subscribe&redirect=true&lang=en

To manage subscriptions https://mfn.se/manage-subscription?token=eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJodWIubWZuLnNlIiwic3ViIjoiMGVmNDdlNTUtNTQ3Mi00Yzc4LThjZDgtNDNlOWE0ODM0ZmJjIiwiaWF0IjoxNzUwMDU2OTY2LCJqdGkiOiJycy5uZXdzZmVlZC4xMjNAZ21haWwuY29tIn0.lLCRQgc6a52HA4meJPPzqprf21Jz5qTHz0vNDRiT8T1L9Md2BWO_dO9yvsEQoDlMUyJu0AIcy7MZcYXwbXK0yQ&lang=en",unknown,Vitec Software Group: Verify your subscription,"Hi,, You have requested to subscribe to releases from Vitec Software Group via MFN. In accordance with GDPR you must consent to receive these emails. If you have not requested this subscription, you can manage your subscriptions by clicking Manage below. This is an automatically generated email – you cannot directly reply to it. Need help, or have questions? Contact us at Best regards, MFN - Copyright © 2025 Modular Finance AB To complete the subscription please click Verify To manage subscriptions"
2025-06-16,Maersk,Welcome to Maersk! Please confirm your subscription‚ÄØ,"









































Please confirm your email 





     ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏  ͏  ͏  ͏  ͏
     ͏  ͏  ͏  ͏ ­ ­ ­ ­ ­ ­ ­ ­ ­
    ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­
    ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­
    ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­
    ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­
    ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­
    ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­
    ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­   


























































































































































































































Please confirm 
your email 
 





               Thank you for subscribing to 
Global Logistics Pulse!






Please confirm your email below so you can stay on top of key logistics trends. When doing so, you can also update your preferences to ensure you receive the news and insights that matter most to you and your business. 
 












Confirm email 

















                        Have a great day!

                        All the best,

                        Maersk
                      

































































                                    A.P. Møller - Mærsk A/S
 Esplananden 50, 1098 Copenhagen K

                                    www.maersk.com
 © A.P. Moller - Maersk










































Privacy Policy























































































































































































































",unknown,Welcome to Maersk! Please confirm your subscription‚ÄØ,"Please confirm your email ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ ­ Please confirm your email Thank you for subscribing to Global Logistics Pulse! Please confirm your email below so you can stay on top of key logistics trends. When doing so, you can also update your preferences to ensure you receive the news and insights that matter most to you and your business. Confirm email Have a great day! All the best, Maersk A.P. Møller - Mærsk A/S Esplananden 50, 1098 Copenhagen K © A.P. Moller - Maersk Privacy Policy"
2025-06-16,Maersk,Thank you! We’ve registered your subscription," 






MaerskIf you have trouble viewing this email, click 
https://view.e.maersk.com/?qs=e377f8b865236c1c29976cae015a36cf90016b0cb38e2e01c35c2fd30ecab3af9f3ae9c8017092f53861deb81d9911da3ae6675b52ce63053c600abbe3c779191a9674829411d5142d6234f05fe530aad3f0877da0651456 
here to view an online version.

ALL THE WAY
https://click.e.maersk.com/?qs=8ce0093e1f70f7af56be4dd14bea9d1c6cce3e8acdcc61755eb9a623c6d96a5fc7cbb4fe2d250841537affb3fe4a78a6872d7499be6aff5d 


  

  

 Dear Customer, 


 Thank you for subscribing! You'll soon receive business updates to help you get the most out of your supply chain.


 Did you remember to update your email preferences?

 If not, you can do it below. It&rsquo;ll only take a minute:


  


 
https://click.e.maersk.com/?qs=df6adf385aff2601fdc407cdc785393134aebb13370a2f9d7718f1602e58a3a283821f711b5c7179dfd9d6eb212346de780313164f9c7053809f651b6c446871 

 


  

  

 By updating your preferences, you can select your region(s) of interest and the news and insights that matter the most to your business:


  


  
  Logistics Insights:

 Deep-dive into insights on the future of supply chain


  


  
  Products and services:

 Be the first to know about new solutions for your business


  


  
  Events:

 Get inspired at exhibitions and conferences


  


  

  

 Have a great day!


 All the best,

 Maersk

  


  

 

   
A P Moller Maersk AS,

 Esplanaden 50, Copenhagen K 1098, Denmark
(c) 2025 A.P. Moller - Maersk
 
https://click.e.maersk.com/?qs=c3e2a9b744a716b5bf504c675173e8c0d1b6e9587677c183989a1726104ae7c4d1725db177b18c04a4b23c44da34de506c9ae63f05637f553aa9f918c1b71980 
Subscription Preferences

https://click.e.maersk.com/?qs=1fd6f5a7756b448c85e21f8229fde9bc483a43218bb171ce26a9eba1d3cd21100d2a027659ec0dfdf5c93e9f23bd91766e2d9b87df3878c79c3bcd63c16fd48c 
Unsubscribe

https://click.e.maersk.com/?qs=3aa2b5a0f1871e7eff34db9cbe8dbea0c08b0ce64d21723af6c25eb8539a6d43807160d625e005d832b716db43c8d084b3c55cde600c300a 
Privacy Policy

https://click.e.maersk.com/?qs=a29179ae41d665bae2bd388c3b7cf8a89b5be76e04f50f38ab5fa41895a85d868922937a71d524c063f97b953db94d383879ed82548de351 

https://click.e.maersk.com/?qs=6fac35b9fea9e94e2f21df46b6f20fefaa1399b213c4640b04777db83092f5c056940b31fdfddc5d2275129e6c6bdc47ab1b91ba8074aa72 

https://click.e.maersk.com/?qs=e5d160e2f3ac8f88d8fbb26ec123a326e78dfd2c58c5b07b6ba5f657b579a8042f76d2a4dfb37d06f5b649293d3e839775becec8dfa9ea40 

https://click.e.maersk.com/?qs=5107e99b4e2495a76586711bc7335fecae5c39f09edf9aa4a8e37ef852d8cb5df8f21f0d6462b757359b7352062366adbf3e71b79f40ca3e 

https://click.e.maersk.com/?qs=67ff4128dccc9c65614adff094d1be40979a1254070d67b198faef4821098b00a4f4719eefaa05071b238b379834b4f2cd62cd427b64683c 

https://click.e.maersk.com/?qs=bc486722a45fd43fb18a231edca23ef4d836cd74ca6f9b3dc50781e718e94a580422b35594eb5f87757adb9e21618f061efafe2a82dac82e 

 

  

                             
",unknown,Thank you! We’ve registered your subscription,"MaerskIf you have trouble viewing this email, click here to view an online version. ALL THE WAY Dear Customer, Thank you for subscribing! You'll soon receive business updates to help you get the most out of your supply chain. Did you remember to update your email preferences? If not, you can do it below. It’ll only take a minute: By updating your preferences, you can select your region(s) of interest and the news and insights that matter the most to your business: Logistics Insights: Deep-dive into insights on the future of supply chain Products and services: Be the first to know about new solutions for your business Events: Get inspired at exhibitions and conferences Have a great day! All the best, Maersk A P Moller Maersk AS, Esplanaden 50, Copenhagen K 1098, Denmark (c) 2025 A.P. Moller - Maersk Subscription Preferences Unsubscribe Privacy Policy"
2025-06-16,AAK,AAK: Verify your subscription,"Hi,,

You have requested to subscribe to releases from AAK via MFN. In accordance with GDPR you must consent to receive these emails. If you have not requested this subscription, you can manage your subscriptions by clicking Manage below.

This is an automatically generated email – you cannot directly reply to it. Need help, or have questions? Contact us at support@modularfinance.com

Best regards,
MFN - https://mfn.se/all/a/aak

Copyright © 2025 Modular Finance AB

To complete the subscription please click Verify https://hub.mfn.se/verify/b2089bf2-4df6-4f76-bc5a-73113214b6ed?hub.mode=subscribe&redirect=true&lang=en

To manage subscriptions https://mfn.se/manage-subscription?token=eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJodWIubWZuLnNlIiwic3ViIjoiYjIwODliZjItNGRmNi00Zjc2LWJjNWEtNzMxMTMyMTRiNmVkIiwiaWF0IjoxNzUwMTAwMDgyLCJqdGkiOiJycy5uZXdzZmVlZC4xMjNAZ21haWwuY29tIn0.mbNOv0y-2-YNDtXGFQDFMI3kpdQn8697a-_-NdmmgsvHMMn9trc_u1dWD3uQukXKJ3gKAtQ5GuMshhT6D3ooKg&lang=en",unknown,AAK: Verify your subscription,"Hi,, You have requested to subscribe to releases from AAK via MFN. In accordance with GDPR you must consent to receive these emails. If you have not requested this subscription, you can manage your subscriptions by clicking Manage below. This is an automatically generated email – you cannot directly reply to it. Need help, or have questions? Contact us at Best regards, MFN - Copyright © 2025 Modular Finance AB To complete the subscription please click Verify To manage subscriptions"
2025-06-16,AddLife,AddLife: Verify your subscription,"Hi,,

You have requested to subscribe to releases from AddLife via MFN. In accordance with GDPR you must consent to receive these emails. If you have not requested this subscription, you can manage your subscriptions by clicking Manage below.

This is an automatically generated email – you cannot directly reply to it. Need help, or have questions? Contact us at support@modularfinance.com

Best regards,
MFN - https://mfn.se/all/a/addlife

Copyright © 2025 Modular Finance AB

To complete the subscription please click Verify https://hub.mfn.se/verify/1e086b29-8ac5-4fef-aafb-e2f0505d9ccd?hub.mode=subscribe&redirect=true&lang=en

To manage subscriptions https://mfn.se/manage-subscription?token=eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJodWIubWZuLnNlIiwic3ViIjoiMWUwODZiMjktOGFjNS00ZmVmLWFhZmItZTJmMDUwNWQ5Y2NkIiwiaWF0IjoxNzUwMTAyMTcwLCJqdGkiOiJycy5uZXdzZmVlZC4xMjNAZ21haWwuY29tIn0.OpVocva9AdLtrk6LGoS9TwDUxq_1cXahSLtHsEOV2knHBM82ABeDlIRs5If99tew_FRZ_6-Bed6O9CWsojjY6g&lang=en
",unknown,AddLife: Verify your subscription,"Hi,, You have requested to subscribe to releases from AddLife via MFN. In accordance with GDPR you must consent to receive these emails. If you have not requested this subscription, you can manage your subscriptions by clicking Manage below. This is an automatically generated email – you cannot directly reply to it. Need help, or have questions? Contact us at Best regards, MFN - Copyright © 2025 Modular Finance AB To complete the subscription please click Verify To manage subscriptions"
2025-06-16,Addnode Group,Addnode Group: Verify your subscription,"Hi,,

You have requested to subscribe to releases from Addnode Group via MFN. In accordance with GDPR you must consent to receive these emails. If you have not requested this subscription, you can manage your subscriptions by clicking Manage below.

This is an automatically generated email – you cannot directly reply to it. Need help, or have questions? Contact us at support@modularfinance.com

Best regards,
MFN - https://mfn.se/all/a/addnode-group

Copyright © 2025 Modular Finance AB

To complete the subscription please click Verify https://hub.mfn.se/verify/a60f6d19-f9de-492f-979b-16763e2bf0d0?hub.mode=subscribe&redirect=true&lang=en

To manage subscriptions https://mfn.se/manage-subscription?token=eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJpc3MiOiJodWIubWZuLnNlIiwic3ViIjoiYTYwZjZkMTktZjlkZS00OTJmLTk3OWItMTY3NjNlMmJmMGQwIiwiaWF0IjoxNzUwMTAyMjQ1LCJqdGkiOiJycy5uZXdzZmVlZC4xMjNAZ21haWwuY29tIn0.5mw6t8qZVnecVH_07gpoXqaYRL4q_JSj2qHLCd4sAVIFUKy7p6_IHeSHYgphV9dcYs0wJqmkOO9Y4OXXU5E6Gg&lang=en",unknown,Addnode Group: Verify your subscription,"Hi,, You have requested to subscribe to releases from Addnode Group via MFN. In accordance with GDPR you must consent to receive these emails. If you have not requested this subscription, you can manage your subscriptions by clicking Manage below. This is an automatically generated email – you cannot directly reply to it. Need help, or have questions? Contact us at Best regards, MFN - Copyright © 2025 Modular Finance AB To complete the subscription please click Verify To manage subscriptions"
2025-06-16,Addtech,Welcome,"[*] 
Thank you for subscribing to information from Addtech.

From now on, you will receive information from Addtech to this e-mail address. 

If you wish to unsubscribe, please click on the link below. 
https://publish.ne.cision.com/Subscriber/Index/252124208FD61440408E4E6A701B6D7B

(if you cannot click it, copy it and paste it into a Web browser)

Best regards, 

Addtech AB
",unknown,Welcome,"[*] Thank you for subscribing to information from Addtech. From now on, you will receive information from Addtech to this e-mail address. If you wish to unsubscribe, please click on the link below. (if you cannot click it, copy it and paste it into a Web browser) Best regards, Addtech AB"
2025-06-16,AFRY,Confirm your subscription,"[*] 
Thank you for subscribing to AFRY’s services!



To activate the subscription, we request that you confirm your e-mail address. Do this by clicking on this link:

		
Confirm email address




",unknown,Confirm your subscription,"[*] Thank you for subscribing to AFRY’s services! To activate the subscription, we request that you confirm your e-mail address. Do this by clicking on this link: Confirm email address"
2025-06-16,Alfa Laval,Confirm your subscription,"[*] 
Thank you for subscribing to Alfa Lavals services!



To activate the subscription, we request that you confirm your e-mail address. Do this by clicking on this link:

		
Confirm email address


Alfa Laval is active in the areas of Energy, Marine, and Food & Water, offering its expertise, products, and service to a wide range of industries in some 100 countries. The company is committed to optimizing processes, creating responsible growth, and driving progress – always going the extra mile to support customers in achieving their business goals and sustainability targets. Alfa Laval’s innovative technologies are dedicated to purifying, refining, and reusing materials, promoting more responsible use of natural resources. They contribute to improved energy efficiency and heat recovery, better water treatment, and reduced emissions. Thereby, Alfa Laval is not only accelerating success for its customers, but also for people and the planet. Making the world better, every day. It’s all about Advancing better™. Alfa Laval has 17,500 employees. Annual sales in 2019 were SEK 46.5 billion (approx. EUR 4.4 billion). The company is listed on Nasdaq OMX. 

",unknown,Confirm your subscription,"[*] Thank you for subscribing to Alfa Lavals services! To activate the subscription, we request that you confirm your e-mail address. Do this by clicking on this link: Confirm email address Alfa Laval is active in the areas of Energy, Marine, and Food & Water, offering its expertise, products, and service to a wide range of industries in some 100 countries. The company is committed to optimizing processes, creating responsible growth, and driving progress – always going the extra mile to support customers in achieving their business goals and sustainability targets. Alfa Laval’s innovative technologies are dedicated to purifying, refining, and reusing materials, promoting more responsible use of natural resources. They contribute to improved energy efficiency and heat recovery, better water treatment, and reduced emissions. Thereby, Alfa Laval is not only accelerating success for its customers, but also for people and the planet. Making the world better, every day. It’s all about Advancing better™. Alfa Laval has 17,500 employees. Annual sales in 2019 were SEK 46.5 billion (approx. EUR 4.4 billion). The company is listed on Nasdaq OMX."
