press_release_id,release_date,company_name,source,source_url,language,lang_norm,true_cid,true_notes,pred_cid,title,snippet,pred_category,pred_prob,pred_margin,margin_band,decision,top3_cids,top3_probs
198c10599439dc58,2025-08-19,"Latour, Investmentab.",gmail,,,other,earnings_report,,admission_delisting,DelÃ¥rsrapport januari - juni 2025,"Delårsrapport januari - juni 2025 Publicerad: 2025-08-19 08:30:00 CEST COMPANY- Halvårsrapport Delårsrapport januari - juni 2025 SUBSTANSVÄRDET OCH LATOURAKTIEN Substansvärdet uppgick till 207 kronor per aktie vid periodens utgång jämfört med 215 kronor per aktie vid ingången av året vilket motsvarar en minskning om 1,9 procent justerat för utdelning. Jämförbart index (SIXRX) ökade med 2,3 procent. Substansvärdet per den 18 augusti uppgick till 212 kronor per aktie. 1 Latouraktiens totalavkastning uppgick till -8,1 procent jämfört med SIXRX som ökade med 2,3 procent. INDUSTRIRÖRELSEN Andra kva",Delisting / Trading halt,0.0531,0.0,hard,needs_review_low_sim,"[""admission_delisting"", ""equity_actions_non_buyback"", ""labor_workforce""]","[0.0531, 0.0531, 0.053]"
1978f50da17513ac,2025-06-20,Alvotech,gmail,,,other,other_corporate_update,,admission_delisting,Weekly Summary Alert for COMPANY,"COMPANY added the following items during the week of June 16, 2025 ALVO Monday Tuesday Wednesday Thursday Friday Opening Price $9.75 $9.30 $9.20 N/A $8.90 Last Trade $9.34 $9.22 $9.01 N/A $9.35 Price Change -$0.40 -$0.12 -$0.21 N/A +$0.34 Percent Change -4.11% -1.28% -2.28% N/A +3.77% Day High $9.75 $9.45 $9.21 N/A $9.40 Day Low $9.29 $9.21 $8.98 N/A $8.73 Volume 105,879 81,445 143,329 N/A 268,158 Visit the website → You are subscribed to COMPANY Investor Relations email alerts. To unsubscribe from all alerts, please click here. COMPANY Saemundargata 15-19, 102, Reykjavik,, Iceland Service pro",Delisting / Trading halt,0.0535,0.0,hard,needs_review_low_sim,"[""admission_delisting"", ""admission_listing"", ""equity_actions_non_buyback""]","[0.0535, 0.0534, 0.0533]"
197b1514b41847fe,2025-06-27,Maersk,gmail,,,other,incidents_controversies,,admission_delisting,Customer advisory: Middle East situation update,"MaerskIf you have trouble viewing this email, click here to view an online version. Customer Advisory Middle East Situation Update 27 June 2025 Dear Customer, Due to escalations in tensions in the Middle East that have impacted operations involving Iran and Israel, COMPANY has previously announced a temporary suspension of vessel calls to the Port of Haifa. With the prospect of current cease-fire agreement bringing de-escalation to the conflict, we have decided to resume vessel calls to the Port of Haifa, and acceptance for both import and export cargo is now open. We will continue to monitor ",Delisting / Trading halt,0.0539,0.0,hard,needs_review_low_sim,"[""admission_delisting"", ""other_corporate_update"", ""incidents_controversies""]","[0.0539, 0.0538, 0.0536]"
197c501b8d97a4e7,2025-07-01,Alvotech,gmail,,,other,product_launch_partnership,,admission_delisting,COMPANY and Advanz Pharma Enter into European Supply and Commercialization Agreement for Biosimilar Candidate to Cimzia® (certolizumab pegol),"July 1, 2025 4:00 AM EDT COMPANY and Advanz Pharma Enter into European Supply and Commercialization Agreement for Biosimilar Candidate to Cimzia® (certolizumab pegol) View this release → Or click here to view all releases. You are subscribed to COMPANY Investor Relations email alerts. To unsubscribe from all alerts, please click here. COMPANY Saemundargata 15-19, 102, Reykjavik,, Iceland Service provided by Notified",Delisting / Trading halt,0.0531,0.0,hard,needs_review_low_sim,"[""admission_delisting"", ""legal_regulatory_compliance"", ""product_launch_partnership""]","[0.0531, 0.0531, 0.053]"
197d75cb92e07e2a,2025-07-04,ALK,gmail,,,other,other_corporate_update,,admission_delisting,Weekly Summary Alert for COMPANY,"COMPANY added the following items during the week of June 30, 2025 ALKB Monday Tuesday Wednesday Thursday Friday Opening Price 186.30 187.90 188.00 185.90 186.50 Last Trade 186.90 187.80 185.90 186.50 189.80 Price Change +1.60 +0.90 -1.90 +0.60 +3.30 Percent Change +0.86% +0.48% -1.01% +0.32% +1.77% Day High 188.50 188.70 188.00 188.10 190.00 Day Low 185.60 186.20 183.60 185.90 185.50 Volume 149,078 143,110 208,023 79,181 291,121 Visit the website → You are subscribed to COMPANY Investor Relations' email alerts. To unsubscribe from all alerts, please click here. COMPANY Bøge Allé 6-8 DK-2970, ",Delisting / Trading halt,0.0533,0.0,hard,needs_review_low_sim,"[""admission_delisting"", ""dividend"", ""admission_listing""]","[0.0533, 0.0533, 0.0533]"
1981f83caee73fee,2025-07-18,Alvotech,gmail,,,other,other_corporate_update,,admission_delisting,Weekly Summary Alert for COMPANY,"COMPANY added the following items during the week of July 14, 2025 ALVO Monday Tuesday Wednesday Thursday Friday Opening Price $8.47 $8.94 $8.73 $8.43 $8.75 Last Trade $8.90 $8.41 $8.42 $8.73 $8.63 Price Change +$0.38 -$0.49 +$0.01 +$0.31 -$0.10 Percent Change +4.46% -5.51% +0.12% +3.68% -1.15% Day High $8.92 $9.13 $8.83 $8.76 $8.84 Day Low $8.41 $8.33 $8.41 $8.37 $8.54 Volume 276,573 1,735,383 708,761 318,936 235,400 Visit the website → You are subscribed to COMPANY Investor Relations email alerts. To unsubscribe from all alerts, please click here. COMPANY Saemundargata 15-19, 102, Reykjavik,",Delisting / Trading halt,0.0534,0.0,hard,needs_review_low_sim,"[""admission_delisting"", ""admission_listing"", ""equity_actions_non_buyback""]","[0.0534, 0.0534, 0.0532]"
1983b7552fda9709,2025-07-24,The Logistics Pulse,gmail,,,other,other_corporate_update,,admission_delisting,Weathering global change,"Preview text goes here ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ Click here to view online version 24 July 2025 As extreme weather events grow more frequent and severe, supply chains face mounting risks. Learn how to stay ahead and build resilience before COMPANY next storm hits. Read more Video time: 26 minIndustry Insights Turning tariffs and trade rules into op",Delisting / Trading halt,0.0531,0.0,hard,needs_review_low_sim,"[""admission_delisting"", ""other_corporate_update"", ""incidents_controversies""]","[0.0531, 0.0531, 0.053]"
198c265bdfdd8da1,2025-08-19,Nasdaq Company News,gmail,,,other,admission_listing,,admission_delisting,LISTING OF TURBO WARRANTS ISSUED BY MORGAN STANLEY & CO. INTERNATIONAL PLC,LISTING OF TURBO WARRANTS ISSUED BY MORGAN STANLEY & CO. INTERNATIONAL PLC Published: 2025-08-19 14:55:02 CEST COMPANY Stockholm AB - First North - Securitized Derivatives LISTING OF TURBO WARRANTS ISSUED BY MORGAN STANLEY & CO. INTERNATIONAL PLC NOTICE 2025-08-19 TURBO WARRANTS (Record Id 313444) COMPANY Stockholm has decided to list 1 warrant(s) issued by Morgan Stanley & Co. International Plc with effect from 2025-08-20. The warrant(s) will be listed on the NSDX segment of the COMPANY First North Sweden. (STO Warrants Extend ME) Please find instrument identifiers in the attached document. C,Delisting / Trading halt,0.0537,0.0002,hard,needs_review_low_sim,"[""admission_delisting"", ""admission_listing"", ""equity_actions_non_buyback""]","[0.0537, 0.0535, 0.0534]"
198d156c78f7b428,2025-08-22,Novonesis (Novozymes A/S),gmail,,,other,pdmr_managers_transactions,,admission_delisting,Trading by management and close relations of management,"Trading by management and close relations of management Published: 2025-08-22 12:32:51 CEST COMPANY - Managers' Transactions Trading by management and close relations of management Please read the announcement in PDF Attachment 2025_39_Trading_By_Management Attachments: 2025_39_Trading_By_Management.pdf This email message was delivered to Cancel this subscription This news release was distributed by Company News System, nasdaq.com/european-market-activity/news/company-news",Delisting / Trading halt,0.0558,0.0014,hard,needs_review_low_sim,"[""admission_delisting"", ""pdmr_managers_transactions"", ""admission_listing""]","[0.0558, 0.0544, 0.0539]"
198bd12811c17188,2025-08-18,Heeros Plc,gmail,,,other,admission_delisting,redemption squeeze-out leads to delisting,admission_delisting,The arbitral tribunal has confirmed Accountor Finago Oy's redemption right over minority shares in COMPANY,"The arbitral tribunal has confirmed Accountor Finago Oy's redemption right over minority shares in COMPANY Published: 2025-08-18 14:06:00 CEST COMPANY - Company Announcement The arbitral tribunal has confirmed Accountor Finago Oy's redemption right over minority shares in COMPANY COMPANY | Company Release | August 18, 2025 at 15:06:00 EEST The arbitral tribunal appointed by the Redemption Board of the Finland Chamber of Commerce in connection with the redemption proceedings concerning the minority shares in COMPANY ("" COMPANY "") has today in its interim decision confirmed that Accountor Finago",Delisting / Trading halt,0.0552,0.0017,hard,needs_review_low_sim,"[""admission_delisting"", ""admission_listing"", ""share_buyback""]","[0.0552, 0.0535, 0.0533]"
