press_release_id,release_date,company_name,source,source_url,final_cid,final_category_name,final_source,final_decision,ml_decision,rule_id,rule_conf,rule_lock,rule_needs_review,rule_pred_cid,ml_pred_cid,ml_conf_fused,ml_margin_fused,ml_entropy_emb,ml_entropy_lsa,ml_entropy_fused,ml_p1_emb,ml_p1_lsa,ml_agreement_emb_lsa,ml_top3_cids,ml_top3_probs,ml_version,title,snippet,final_cid_group,ml_conf_fused_group,ml_margin_fused_group,ml_entropy_fused_group,dup_group_id,dup_group_size,is_group_rep,sample_weight_dedup,decision_group,run_id,taxonomy_version
1977a39ee890fcb1,2025-06-16,Addtech,gmail,,other_corporate_update,Other / Corporate update,ml,auto_assign,auto_assign,keywords+exclusions,0.2,False,True,other_corporate_update,other_corporate_update,0.3744,0.3278,1.1687,2.9444,2.4626,0.7578,0.0526,False,"[""other_corporate_update"", ""legal_regulatory_compliance"", ""dividend""]","[0.3744, 0.0466, 0.0439]",e5+tfidf:v3|alpha=0.45621825349982936|T=0.741903838662799/0.9526620821400713,Welcome,"[*] Thank you for subscribing to information from COMPANY. From now on, you will receive information from COMPANY to this e-mail address. If you wish to unsubscribe, please click on the link below. (if you cannot click it, copy it and paste it into a Web browser) Best regards, COMPANY",other_corporate_update,0.3744,0.3278,2.4626,g00000000,1,True,1.0,auto_assign,2025-09-25T154711Z,v3
1977dc3719601308,2025-06-17,Finnair,gmail,,labor_workforce,Labor / Workforce,ml,auto_assign,auto_assign,keywords+exclusions,0.6599999999999999,False,False,product_launch_partnership,labor_workforce,0.4184,0.2912,1.9276,1.9912,2.1602,0.3685,0.4602,True,"[""labor_workforce"", ""incidents_controversies"", ""orders_contracts""]","[0.4184, 0.1272, 0.0848]",e5+tfidf:v3|alpha=0.45621825349982936|T=0.741903838662799/0.9526620821400713,COMPANY to cancel approximately 128 flights due to industrial action at Helsinki Airport on 19 June,"[*] COMPANY to cancel approximately 128 flights due to industrial action at Helsinki Airport on 19 June The Finnish Aviation Union IAU has announced industrial action at COMPANY's home hub, Helsinki Airport, causing extensive disruptions to traffic on Thursday, 19 June. The four-hour industrial actions target different work shifts and thus affect many functions essential also to COMPANY's flights throughout the day, such as ground handling operations and catering services. As industrial action will cause significant disruptions to the operation of flights, COMPANY will have to cancel approxima",labor_workforce,0.4184,0.2912,2.1602,g00000001,1,True,1.0,auto_assign,2025-09-25T154711Z,v3
19781bb569859cf6,2025-06-18,Atlas Copco,gmail,,mna,M&A,rules,by_rules,auto_assign,mna,0.87,False,False,mna,labor_workforce,0.3024,0.0572,1.8793,1.8103,2.1501,0.5232,0.5165,False,"[""labor_workforce"", ""equity_actions_non_buyback"", ""earnings_report""]","[0.3024, 0.2452, 0.1249]",e5+tfidf:v3|alpha=0.45621825349982936|T=0.741903838662799/0.9526620821400713,Korean based compressor manufacturer has become part of COMPANY Group,"[*] Korean based compressor manufacturer has become part of COMPANY Group Nacka, Sweden, June 18, 2025: Kyungwon Machinery Industry Co., Ltd. (""Kyungwon"") a manufacturer of oil-injected and oil-free screw air compressors as well as oil-free scroll air compressors has become part of COMPANY Group. Kyungwon is located and has its manufacturing plant in Siheung-si, Gyeonggi-do, Korea and was founded in 1968. As part of the acquisition 126 employees will join COMPANY Group. The company's product portfolio includes compressed air and air treatment solutions. Kyungwon provides solutions to a broad r",labor_workforce,0.3024,0.0572,2.1501,g00000002,1,True,1.0,auto_assign,2025-09-25T154711Z,v3
1978219b50bec6fb,2025-06-18,Atrium Ljungberg AB,gmail,,labor_workforce,Labor / Workforce,ml,needs_review_margin,needs_review_margin,keywords+exclusions,0.2,False,True,other_corporate_update,labor_workforce,0.2044,0.0007,2.0964,2.0058,2.3781,0.3604,0.3691,False,"[""labor_workforce"", ""pdmr_managers_transactions"", ""other_corporate_update""]","[0.2044, 0.2037, 0.1526]",e5+tfidf:v3|alpha=0.45621825349982936|T=0.741903838662799/0.9526620821400713,"COMPANY Ljungberg bjuder in till presentation av delårsrapporten Q2 2025, den 4 juli klockan 9.00","[*] COMPANY Ljungberg bjuder in till presentation av delårsrapporten Q2 2025, den 4 juli klockan 9.00 Med anledning av delårsrapporten januari - juni 2025 bjuder COMPANY Ljungberg in till webbpresentation klockan 9.00 den 4 juli. Delårsrapporten offentliggörs klockan 7.30 samma dag. Analytiker, investerare, media och andra intresserade är välkomna att delta i presentationen där vd Annica Ånäs och cfo Anna Jepson presenterar resultatet för Q2 2025. Presentationen hålls på svenska och kan följas live via webb med möjlighet att ställa frågor. Länk till webbsändning: Vill du ställa frågor, anslut ",labor_workforce,0.2044,0.0007,2.3781,g00000003,1,True,1.0,needs_review_margin,2025-09-25T154711Z,v3
19789b912027604e,2025-06-19,Google Cloud,gmail,,credit_ratings,Credit & Ratings,ml,auto_assign,auto_assign,keywords+exclusions,0.2,False,True,other_corporate_update,credit_ratings,0.4104,0.3229,2.4434,1.3889,2.2178,0.1709,0.7086,False,"[""credit_ratings"", ""dividend"", ""debt_bond_issue""]","[0.4104, 0.0875, 0.0785]",e5+tfidf:v3|alpha=0.45621825349982936|T=0.741903838662799/0.9526620821400713,Account confirmation: Your COMPANY Platform trial,"COMPANY Go to my console Welcome to COMPANY. Learn the fundamentals with this tutorial - and see what else you can do on GCP with our Always Free tier. Go to my console Beginning today, you have $300 USD in credit which you can use to: - Evaluate COMPANY risk-free* - Explore a wide range of COMPANY products and services - from Compute Engine and BigQuery to industry-leading AI. - Easily check your credit usage by visiting the billing section of your COMPANY console See what's always free. Before diving into your free trial, take a moment to explore over 20 always-free products in our Always Fr",credit_ratings,0.4104,0.3229,2.2178,g00000004,1,True,1.0,auto_assign,2025-09-25T154711Z,v3
197a12a83eac1d81,2025-06-24,Asmodee Group AB,gmail,,earnings_report,Earnings report,ml,auto_assign,auto_assign,keywords+exclusions,0.6599999999999999,False,False,earnings_report,earnings_report,0.2649,0.0678,2.116,2.1547,2.3464,0.4181,0.3667,False,"[""earnings_report"", ""product_launch_partnership"", ""agm_egm_governance""]","[0.2649, 0.1971, 0.1259]",e5+tfidf:v3|alpha=0.45621825349982936|T=0.741903838662799/0.9526620821400713,COMPANY publishes Annual and Sustainability Report for 24/25,"Boulogne-Billancourt, June 24, 2025 - COMPANY, a global leader in the tabletop games industry, today publishes its Annual and Sustainability Report for the fiscal year 24/25. The report is available in both Swedish and English. The Swedish Annual and Sustainability Report is also available on the group's website (in European Single Electronic Format (ESEF). A printed version can be ordered by emailing. For more information, contact Nathalie Redmo, Head of Investor Relations, COMPANY Tel: +46 768 10 22 43 E-mail: COMPANY Corporate Communications team E-mail: About COMPANY COMPANY is a global le",earnings_report,0.2649,0.0678,2.3464,g00000005,1,True,1.0,auto_assign,2025-09-25T154711Z,v3
197a6f6a7999cdc7,2025-06-25,Alfa Laval,gmail,,earnings_report,Earnings report,rules,by_rules,auto_assign,invitation routing,0.8,False,False,earnings_report,earnings_report,0.468,0.3729,2.1977,1.4384,2.0131,0.2168,0.6787,True,"[""earnings_report"", ""debt_bond_issue"", ""dividend""]","[0.468, 0.095, 0.0899]",e5+tfidf:v3|alpha=0.45621825349982936|T=0.741903838662799/0.9526620821400713,Invitation to COMPANY's second quarter conference call,"[*] Invitation to COMPANY's second quarter conference call COMPANY will release second quarter earnings on 22 July at 07:30 am CEST. The conference call will start at 09:00 am CEST. The conference call is hosted by COMPANY's President and CEO Tom Erixon and CFO Fredrik Ekström. To participate in the conference call and ask questions, please register on below link: Diamond Pass Registration You can also follow the conference via a live webcast. A webcast link will be available on | COMPANY Investors Contacts Johan Lundin Head of Investor Relations, COMPANY Mobile: +46 730 46 30 90 Beata Ardhe E",earnings_report,0.468,0.3729,2.0131,g00000006,1,True,1.0,auto_assign,2025-09-25T154711Z,v3
197aad2dc233a444,2025-06-26,Bavarian Nordic A/S,gmail,,product_launch_partnership,Product / Launch / Partnership,rules,by_rules,auto_assign,keywords+exclusions,0.72,False,False,product_launch_partnership,earnings_report,0.43,0.3272,2.3427,1.1664,2.1075,0.2167,0.772,False,"[""earnings_report"", ""product_launch_partnership"", ""pdmr_managers_transactions""]","[0.43, 0.1029, 0.1026]",e5+tfidf:v3|alpha=0.45621825349982936|T=0.741903838662799/0.9526620821400713,COMPANY Nordic Announces the Initiation of Clinical Trials of Mpox Vaccine in Infants and Pregnant Women,"First studies to evaluate MVA-BN in infants under 2 years of age and pregnant and breastfeeding women. The multi-partner research project is aimed at expanding access to mpox vaccines for vulnerable populations. COPENHAGEN, Denmark, June 26, 2025 - COMPANY (OMX: BAVA) announced today the initiation of the first of two clinical trials designed to support approval and use of the MVA-BN ® mpox/smallpox vaccine in vulnerable populations: infants under 2 years of age and pregnant and breastfeeding women The first participants have been vaccinated in a study (NCT06844487), evaluating the safety and ",earnings_report,0.43,0.3272,2.1075,g00000007,1,True,1.0,auto_assign,2025-09-25T154711Z,v3
197ac36258ada11a,2025-06-26,Maersk,gmail,,incidents_controversies,Incidents / Controversies,ml,auto_assign,auto_assign,keywords+exclusions,0.6599999999999999,False,False,incidents_controversies,incidents_controversies,0.4046,0.3001,1.9312,2.1434,2.1895,0.4279,0.385,True,"[""incidents_controversies"", ""admission_delisting"", ""other_corporate_update""]","[0.4046, 0.1044, 0.1037]",e5+tfidf:v3|alpha=0.45621825349982936|T=0.741903838662799/0.9526620821400713,Customer advisory: Middle East situation update,"MaerskIf you have trouble viewing this email, click here to view an online version. Customer Advisory Middle East Situation Update 26 June 2025 Dear Customer, Tensions in the Middle East have significantly escalated, impacting operations involving Iran and Israel. Given the ongoing volatility and to ensure the safety of our crew, vessels and customers' cargo, COMPANY temporarily suspended vessel calls to the Port of Haifa. As of 25 June 2025, cargo acceptance to Haifa port for imports has been reopened. We are monitoring the situation very closely and based on the recent developments and with ",incidents_controversies,0.4046,0.3001,2.1895,g00000008,1,True,1.0,auto_assign,2025-09-25T154711Z,v3
197b1641b576fa2d,2025-06-27,Corem Property Group,gmail,,mna,M&A,rules,by_rules,auto_assign,mna,0.87,False,False,mna,mna,0.2819,0.0451,1.902,2.1506,2.2535,0.5222,0.4017,False,"[""mna"", ""earnings_report"", ""capital_raise_rights_issue""]","[0.2819, 0.2368, 0.0776]",e5+tfidf:v3|alpha=0.45621825349982936|T=0.741903838662799/0.9526620821400713,COMPANY divests a property in New York,"[*] COMPANY divests a property in New York [*] COMPANY has signed an agreement with Capstone Equities to divest the project property 28&7 in Manhattan New York at a underlying property value corresponding to approximately SEK 770 million based on today's exchange rate. The total leasable area amounts to approximately 9,300 sq.m, consisting mainly of premises for offices complemented by restaurants on the ground floor. Transfer of the property is planned to take place at the end of August 2025. The divestment causes a net profit effect of approximately -215 million SEK, which is mainly due to t",mna,0.2819,0.0451,2.2535,g00000009,1,True,1.0,auto_assign,2025-09-25T154711Z,v3
